Column1,name,dist,year,jewish_pop,total_pop,name_heb,dist_heb
11,Ozorków,Łęczyca,1857,3262,6577,אוזורקוב,נפת לנצ'יצה
840,Jasło,,1900,1524,6571,יָאסְלוֹ,נפת יאסלו
1494,Nadwórna,Nafta Nadwórna,1880,4182,6552,נאדבורנה,נפת נאדבורנה
929,Nowy Targ,Nowy Targ,1900,900,6546,נובי טארג,נפת נובי טארג
494,Końskie,,1857,4320,6521,קינצק,נפת קונסקיה
1300,Chorostków,Kopychyntsi,1921,1955,6499,חורוסטקוב,נפת קופיצ'ינצה
1299,Chorostków,Kopychyntsi,1900,1871,6498,חורוסטקוב,נפת קופיצ'ינצה
1417,Lubaczów,Lubaczów,1910,2171,6440,לובאצ'וב,נפת לובאצ'וב
1354,Trembowla,,1880,1749,6432,טרמבובלה,נפת טרמבובלה
667,Gorlice,Gorlice,1900,3279,6431,גורליצה,גורליצה
204,Zduńska Wola,Sieradz,1857,1676,6347,זדונסקה וולה,נפת שייראדז
1020,Busk,Kamionka,1890,2310,6347,ביסק,קאמיונקה
723,Wadowice,Wadowice,1900,975,6328,וַאדוֹבִיצֶה,נפת ואדוביצה
596,Andrychów,Wadowice,1939,370,6299,אַנְדְרִיחוב,נפת ואדוביצה
736,Wieliczka,Kraków,1900,981,6293,וֶיילִיצְקָה,נפת קראקוב
104,Bełchatów,Piotrków Trybunalski,1921,3688,6249,בלחאטוב,נפת פיוטרקוב טריבונאלסקי
1627,Skała,Borshchiv Raion,1890,3228,6163,סקאלה,נפת בורשצ'וב
1626,Skała,Borshchiv Raion,1880,3449,6154,סקאלה,נפת בורשצ'וב
1023,Busk,Kamionka,1921,1533,6148,ביסק,קאמיונקה
909,Mielec,,1910,3280,6135,מיילץ,נפת מיילץ
1228,Założce,Zborów,1880,2226,6100,זאלוז'צה,נפת זבורוב
1332,Turka,Turka,1900,2882,6080,טורקה,נפת טורקה
28,Opoczno,Opoczno,1897,2425,6076,אופוצ'נו,נפת אופוצ'נו
1498,Nadwórna,Nafta Nadwórna,1921,2042,6062,נאדבורנה,נפת נאדבורנה
1200,Husiatyn,Nafat Kopychyntsi,1890,4197,6060,הושיאטין,נפת קופיצ'ינצה
735,Wieliczka,Kraków,1890,813,6037,וֶיילִיצְקָה,נפת קראקוב
1413,Jezierna,Tarnopol,1931,700,6026,ייז'יירנה,מחוז טארנופול
1167,Delatyn,Nadvirna,1900,2397,6018,דלאטין,נפת נאדבורנה
1096,Belz,Sokal,1910,3625,6017,בלז,נפת סוקאל
53,Aleksandrów,,1897,1673,5992,אלכסנדרוב,נפת לודז'
734,Wieliczka,Kraków,1800,614,5973,וֶיילִיצְקָה,נפת קראקוב
1169,Delatyn,Nadvirna,1921,1576,5973,דלאטין,נפת נאדבורנה
1349,Tłumacz,,1931,2134,5946,טלומאץ',נפת טלומאץ'
431,Przedbórz,Koneckie,1897,4089,5927,פשדבוז',נפת קונסקיה
1237,Zaleszczyki,Zaleszczyki,1900,3780,5916,"זאלשצ	'יקי","זאלשצ	'יקי"
270,Łowicz,Powiat Łowicz,1862,2061,5885,לוביץ',נפת לוביץ'
432,Przedbórz,Koneckie,1921,3749,5885,פשדבוז',נפת קונסקיה
1416,Lubaczów,Lubaczów,1900,1911,5880,לובאצ'וב,נפת לובאצ'וב
928,Nowy Targ,Nowy Targ,1890,773,5878,נובי טארג,נפת נובי טארג
467,Kutno,,1857,3859,5868,קוטנו,נפת קוטנו
1411,Jezierna,Tarnopol,1900,1095,5843,ייז'יירנה,מחוז טארנופול
1019,Busk,Kamionka,1880,2035,5800,ביסק,קאמיונקה
1202,Husiatyn,Nafat Kopychyntsi,1910,3288,5799,הושיאטין,נפת קופיצ'ינצה
1348,Tłumacz,,1921,2012,5788,טלומאץ',נפת טלומאץ'
1236,Zaleszczyki,Zaleszczyki,1890,4513,5751,"זאלשצ	'יקי","זאלשצ	'יקי"
1201,Husiatyn,Nafat Kopychyntsi,1900,3648,5736,הושיאטין,נפת קופיצ'ינצה
490,Konstantynów,,1921,942,5728,קונסטאנטינוב,קאנסטאנטין
1347,Tłumacz,,1910,2082,5719,טלומאץ',נפת טלומאץ'
317,Sulejów,Silew,1921,2133,5718,סולייוב,סילעוו
536,Rawa Mazowiecka,,1897,2774,5675,ראווה מאזובייצקה,נפת ראווה מאזובייצקה
1252,Zborów,,1910,2265,5656,זבורוב,נפת זבורוב
1628,Skała,Borshchiv Raion,1900,2494,5638,סקאלה,נפת בורשצ'וב
987,Bóbrka,Bóbrka district,1910,2502,5628,בוברקה,נפת בוברקה
1298,Chorostków,Kopychyntsi,1880,2130,5623,חורוסטקוב,נפת קופיצ'ינצה
669,Gorlice,Gorlice,1921,2300,5600,גורליצה,גורליצה
910,Mielec,,1921,2807,5599,מיילץ,נפת מיילץ
1235,Zaleszczyki,Zaleszczyki,1880,4424,5588,"זאלשצ	'יקי","זאלשצ	'יקי"
489,Konstantynów,,1897,1091,5582,קונסטאנטינוב,קאנסטאנטין
1412,Jezierna,Tarnopol,1921,813,5578,ייז'יירנה,מחוז טארנופול
344,Słupca,Konin,1921,1426,5534,סלופצה,נפת קונין
805,Tarnowskie Góry,Tarnowskie Góry,1861,350,5534,טַארְנוֹבְסקֶיה גוּרִי,נפת טאדנובסקיה גודי
14,Ozorków,Łęczyca,1939,5000,5500,אוזורקוב,נפת לנצ'יצה
1613,Stryj,Stryi,1842,2066,5474,סטריא,נפת סטרי
269,Łowicz,Powiat Łowicz,1857,1161,5465,לוביץ',נפת לוביץ'
1346,Tłumacz,,1900,2077,5446,טלומאץ',נפת טלומאץ'
1238,Zaleszczyki,Zaleszczyki,1910,3382,5438,"זאלשצ	'יקי","זאלשצ	'יקי"
993,Budzanów,Buzanów,1900,1696,5436,בודזאנוב,ביזינעוו
1572,Stanisławów,Stanisławów,1792,2237,5432,סטאניסלאבוב,נפת סטאניסלאבוב
1467,Mosty Wielkie,Zhovkva,1910,1605,5396,מוֹסטי ויילקיה,נפת ז'ולקייב
