line_id,code,jg_id,ejl_line,name,dist,prov,area,region,prov1900,prov1930,jg_dist,jg_dist1930,country1900,country1930
476,CRL_ILL_GRV,-502119,1674,Gollantsch,Wagrowiec,Preussen,Prussia,Poznan,Preußen,Poznań,Posen,Wągrowiec,Germany,Poland
477,CRL_GRB_GRBN,-1039164,1675,Golaia pristan,Aleshki,Taurida,Pale,Nikolaev,Taurida,Ukraine SSR,Aleshki,Nikolaiev,Russian Empire,Soviet Union
478,GLC_LWW_GRDK,-502167,1677,Goldap,Goldap,Preussen,Prussia,East Prussia,Preußen,Preußen,Ostpreußen,Ostpreußen,,Poland
479,GRD_BLST_GRDK,-502233,1679,Golina,Konin,Kalisz,Congress Poland,Lodz,Kalisz,Łódż,Konin,Konin,Russian Empire,Poland
480,VLN_VLK_GRDK,-502211,1680,Gollnow,Pommern,Preussen,Prussia,Pomerania,Preußen,Preußen,Pommern,Pommern,Germany,Poland
481,GRD_GRD_GRDN,-1039192,1681,Gołogóry,Zloczow,Galicia,Galicia,Tarnopol,Galicia,Tarnopol,Złoczów,Złoczów,,Soviet Union
482,PTR_BND_GRDZ,-1039208,1682,Goloskov,Balta,Podolia,Pale,Odessa,Podolia,Ukraine SSR,Balta,Odessa,Russian Empire,Soviet Union
483,WRS_BLN_GRDZ,-1039211,1683,Golovanevsk,Balta,Podolia,Pale,Odessa,Podolia,Ukraine SSR,Balta,Odessa,Russian Empire,Soviet Union
484,PRU_PSN_GRTZ,-1943134,1684,Golovchin,Mstislavl,Mogilev,Pale,Mogilev,Mogilev,Belarus SSR,Mstislavl',Mogilev,Russian Empire,Soviet Union
485,WRS_GRT_GRJC,-502272,1685,Golub / Dobrzyń,Wabrzezno,Plock,Congress Poland,Pomerania,Płock,Warszawa,Rypin,Rypin,Russian Empire,Poland
486,PTR_PTR_GRCH,-2913313,1687,Gumbinnen,Gabin,Preussen,Prussia,Warsaw,Preußen,Preußen,Ostpreußen,Ostpreußen,,Soviet Union
487,GLC_CRC_GRMN,-1943559,1688,Gomel,Gomel,Mogilev,Pale,Vitebsk,Mogilev,Belarus SSR,Gomel',Gomel,Russian Empire,Soviet Union
488,KHR_ELZ_GRMK,-502306,1692,Goniondz,Bielostok,Grodno,Pale,Bialystok,Grodno,Białystok,Bielostok,Białystok,Russian Empire,Poland
