code,id,name,dist,prov,code_prov,code_dist
DNV_RST_AZV,-2880822,Azov,Rostov,Don,,
TL_BLV_BLV,-2883907,Belev,Bielev,Tula,,
KRS_BLG_BLGR,-2883930,Belgorod,Belgorod,Kursk,,
SML_BLY_BLYY,-2884636,Belyy,Bielyi,Smolensk,40,2
ORL_BRN_BZHT,-2886141,Bezhitsa,Briansk,Orel,29,3
TMB_BRS_BRSG,-2892090,Borisoglebsk,Borisoglebsk,Tambov,,
ORL_BRN_BRYN,-2893495,Bryansk,Briansk,Orel,29,3
DGS_TMR_BYNK,-2895072,Buynaksk,Temir-Khan-Shura,Dagestan,,
ORN_CHL_CHLY,-2896749,Chelyabinsk,Cheliabinsk,Orenburg,28,5
PRU_OST_CHRN,-2898062,Chernyakhovsk,Ostpreußen,Prussia,,
PRU_OST_CHRN2,-2898152,Chernyshevskoye,Ostpreußen,Prussia,,
ZBK_CHT_CHT,-2899145,Chita,Chita,Zabaikal,,
NVG_NVG_CHDV,-2899444,Chudovo,Novgorod,Novgorod,26,1
CHR_NVZ_CHRV,-2899947,Churovichi,Novozybkov,Chernigov,48,10
SML_PRC_DMDV,-2901087,Demidov,Poriech'e,Smolensk,40,9
KRS_DMT_DMTR,-2902061,Dmitriyev L'govskiy,Dmitriyev,Kursk,,
SML_DRG_DRGB,-2903120,Dorogobuzh,Dorogobuzh,Smolensk,40,5
SML_DKH_DKHV,-2904309,Dukhovshchina,Dukhovshchina,Smolensk,40,6
ORL_BRN_DYTK,-2904888,Dyatkovo,Briansk,Orel,29,3
SML_GZH_GGRN,-2907579,Gagarin,Gzhatsk,Smolensk,40,4
STP_TSR_GTCH,-2908111,Gatchina,Tsarskoe Selo,St. Petersburg,37,6
STP_GDV_GDV,-2908393,Gdov,Gdov,St. Petersburg,37,2
PRU_OST_GSV,-2913313,Gusev,Ostpreußen,Prussia,,
MGL_ORS_GSN,-2913430,Gusino,Orsha,Mogilev,23,7
PRU_OST_GVRD,-2913552,Gvardeysk,Ostpreußen,Prussia,,
VTB_VLZ_ILN,-2914421,Il'ino,Velizh,Vitebsk,5,2
GRD_GRD_INDR,-2915671,Indura,Grodna,Grodno,11,1
IRK_IRK_IRKT,-2916144,Irkutsk,Irkutsk,Irkutsk,,
MGL_MST_KDN,-2918359,Kadino,Mstislavl',Mogilev,23,6
PRU_OST_KLNN,-2918852,Kaliningrad,Ostpreußen,Prussia,,
KLG_KLG_KLG,-2919283,Kaluga,Kaluga,Kaluga,15,1
YNS_KNS_KNSK,-2920558,Kansk,Kansk,Yeniseisk,,
KZN_KZN_KZN,-2923066,Kazan,Kazan',Kazan,14,1
PRM_KHB_KHBR,-2924116,Khabarovsk,Khabarovsk,Primorsk,,
MGL_MST_KHSL,-2925583,Khislavichi,Mstislavl',Mogilev,23,6
KLG_ZHZ_KRV,-2928278,Kirov,Zhizdra,Kaluga,15,3
TMB_KRS_KRSN,-2928408,Kirsanov,Kirsanov,Tambov,42,4
CHR_NVZ_KLMV,-2929365,Klimovo,Novozybkov,Chernigov,48,10
CHR_SRZ_KLNT,-2929489,Klintsy,Surazh,Chernigov,48,15
KST_KST_KSTR,-2934420,Kostroma,Kostroma,Kostroma,18,1
CHR_SRZ_KRSN,-2935823,Krasnaya Gora,Surazh,Chernigov,48,15
KBN_YKT_KRSN,-2936262,Krasnodar,Yekaterinodar,Kuban,,
YNS_KRS_KRSN,-2936665,Krasnoyarsk,Krasnoyarsk,Yeniseisk,,
STP_PTR_KRNS,-2938485,Kronshtadt,Petergof,St. Petersburg,37,5
KRS_KRS_KRSK,-2941648,Kursk,Kursk,Kursk,20,1
TBL_KNS_KYBY,-2942402,Kuybyshev,Kainsk,Tobolsk,,
ORL_LVN_LVNY,-2947107,Livny,Livny,Orel,29,8
PSK_NVR_LKNY,-2947453,Loknya,Novorzhev,Pskov,34,3
STP_PTR_LMNS,-2947561,Lomonosov,Petergof,St. Petersburg,37,5
STP_LG_LG,-2948350,Luga,Luga,St. Petersburg,37,3
NVG_NVG_LYBN,-2949657,Lyuban',Novgorod,Novgorod,26,1
MGL_ORS_LYBV,-2949670,Lyubavichi,Orsha,Mogilev,23,7
KLG_ZHZ_LYDN,-2949867,Lyudinovo,Zhizdra,Kaluga,15,3
ORN_VRK_MGNT,-2950121,Magnitogorsk,Verkhneural'sk,Orenburg,28,2
CHR_MGL_MGLN,-2957321,Mglin,Mglin,Chernigov,48,8
TMB_KZL_MCHR,-2957360,Michurinsk,Kozlov,Tambov,42,5
MGL_ORS_MKLN,-2958143,Mikulino,Orsha,Mogilev,23,7
MGL_MST_MNST,-2959841,Monastyrshchina,Mstislavl',Mogilev,23,6
TMB_MRS_MRSH,-2960252,Morshansk,Morshansk,Tambov,42,8
MSV_MSC_MSKV,-2960561,Moskva,Moscow,Moscow,24,1
NKC_NLC_NLCH,-2962666,Nalchik,Nalchik,Terek,,
ZBK_NRC_NRCH,-2964107,Nerchinsk,Nerchinsk,Zabaikal,,
PRU_OST_NSTR,-2964260,Nesterov,Ostpreußen,Prussia,,
VTB_NVL_NVL,-2964395,Nevel,Nevel',Vitebsk,5,8
NZH_NZH_NZHN,-2966853,Nizhniy Novgorod,Nizhnii-Novgorod,Nizhny Novgorod,,
NVG_NVG_VLKY,-2968530,Velikiy Novgorod,Novgorod,Novgorod,26,1
CHR_NVR_NVRS,-2970141,Novorossiysk,Novorossiysk,Chernomorsk,,
PSK_NVR_NVRZ,-2970183,Novorzhev,Novorzhev,Pskov,34,3
TMS_RSS_NVSB,-2970528,Novosibirsk,Siberia,Tomsk,,
PSK_VLK_NVSK,-2970575,Novosokol'niki,Velikie Luki,Pskov,34,2
CHR_NVZ_NVZY,-2971417,Novozybkov,Novozybkov,Chernigov,48,10
OMS_OMS_OMSK,-2974462,Omsk,Omsk,Akmolinsk,,
PSK_OPC_OPCH,-2974712,Opochka,Opochka,Pskov,34,4
ORL_ORL_ORL,-2974908,Orel,Orel,Orel,29,1
ORN_ORN_ORNB,-2974927,Orenburg,Orenburg,Orenburg,28,1
PSK_OST_OSTR,-2976171,Ostrov,Ostrov,Pskov,34,5
PRU_OST_OZRS,-2977271,Ozersk,Ostpreußen,Prussia,,
STP_TSR_PVLV,-2979082,Pavlovsk,Tsarskoye Selo,St. Petersburg,,
PSK_PSK_PCHR,-2979412,Pechory,Pskov,Pskov,34,1
PNZ_PNZ_PNZ,-2979687,Penza,Penza,Penza,30,1
PRM_PRM_PRM,-2980155,Perm,Perm',Perm,31,1
MGL_KLM_PTRV,-2981595,Petrovichi,Klimovichi,Mogilev,23,5
CHR_MGL_PCHP,-2983519,Pochep,Mglin,Chernigov,48,8
CHR_MGL_PCHP2,-2983519,Pochep,Mglin,Chernigov,48,8
SML_ELN_PCHN,-2983573,Pochinok,El'nia,Smolensk,40,7
CHR_STR_PGR,-2984446,Pogar,Starodub,Chernigov,48,14
PRU_OST_PRVD,-2987502,Pravdinsk,Ostpreußen,Prussia,,
PSK_PSK_PSKV,-2989168,Pskov,Pskov,Pskov,34,1
STP_TSR_PSHK,-2989612,Pushkin,Tsarskoye Selo,St. Petersburg,,
PSK_OST_PYTL,-2990437,Pytalovo,Ostrov,Pskov,34,5
SML_RSL_RSLV,-2993079,Roslavl,Roslavl',Smolensk,40,10
DNV_RST_RSTV,-2993218,Rostov Na-Donu,Rostov-on-Don,Don,,
MGL_ORS_RDNY,-2993839,Rudnya,Orsha,Mogilev,23,7
RYZ_RZN_RYZN,-2994531,Ryazan,Riazan',Ryazan,35,1
SMR_SMR_SMR,-2995930,Samara,Samara,Samara,,
STP_SNT_SNKT,-2996338,Sankt Peterburg,Saint Petersburg,St. Petersburg,37,1
SRT_SRT_SRTV,-2996563,Saratov,Saratov,Saratov,38,1
VTB_SBZ_SBZH,-2997511,Sebezh,Sebezh,Vitebsk,5,11
