id,name,altname,lang,period
-1034509,Antonovka,antonówka,,
-1034509,Antonovka,antonuvka,,
149302,Antonovka,antonovka,,
-2612699,Antonowo,antanava,,
-2612699,Antonowo,antonovo,,
-2612699,Antonowo,antonowo,,
-2612699,Antonowo,antanove,,
-2612699,Antonowo,antanavas,,
-2612699,Antonowo,antanavs,,
-1940921,Antopol,antopol,"Russia, Poland",
-1940921,Antopol,antapoli,,
-1940921,Antopol,antopal,,
-1940921,Antopol,antepolye,,
-1940921,Antopol,antipolye,,
-1940921,Antopol,antopole,,
-1953257,Antwerpen,antwerpen,,
-1953257,Antwerpen,anvers,,
-1953257,Antwerpen,antwerp,,
-1953257,Antwerpen,anverse,,
-1151155,Apa,apa,"Romania, Hungary",
-848428,Apagy,apagy,,
-73925,Apatin,apatin,"Serbia, Hungary, Germany",
-73925,Apatin,apathin,,
-73925,Apatin,abthausen,,
-848450,Apc,apc,,
-848450,Apc,apcz,,
-2140567,Apeldoorn,apeldoorn,,
-1740798,Aplerbeck,aplerbeck,,
-1740798,Aplerbeck,dortmund-aplerbeck,,
-1740801,Apolda,apolda,,
-1740801,Apolda,stadt apolda,,
-848456,Apostag,apostag,,
-2140586,Appingedam,appingedam,,
-3178337,Appollonia,apollonia,,
-3178337,Appollonia,marza-souza,,
-3178337,Appollonia,marsá sūsah,,
-3178337,Appollonia,màrsa sùsa,,
-1151195,Arad,arad,"Romania, Hungary",
-1151195,Arad,ō-arad,,
-847542,Aranyosmarót,zlaté moravce,,
-847542,Aranyosmarót,aranyosmarót,,
-847542,Aranyosmarót,goldmorawitz,,
-847542,Aranyosmarót,aranyosmaróth,,
-847542,Aranyosmarót,maróth aranyos,,
-1163844,Aranyosmeggyes,medieşu aurit,,
-1163844,Aranyosmeggyes,aranyosmeggyes,,
-1163844,Aranyosmeggyes,medieşul-aurit,,
-1167345,Aranyospolyán,poiana,,
-1167345,Aranyospolyán,aranyospolyán,,
-1151210,Arbora,arbore,,
-1151210,Arbora,arbora,,
-1740900,Archshofen,archshofen,,
-2623022,Arensburg,kuressaare,,
-2623022,Arensburg,arensburg,,
-2623022,Arensburg,kingissepa,Russia,1952-1988
-2623022,Arensburg,kuresāre,,
-2623022,Arensburg,kuresarė,,
-2623022,Arensburg,kuresaari,,
-2623022,Arensburg,kuresaare,,
-2623022,Arensburg,kuresaar,,
-2623022,Arensburg,kingissepp,,
-2623022,Arensburg,kingisepp,,
-2623022,Arensburg,kingsepp,,
-1740976,Arheilgen,arheilgen,,
-2612768,Ariogala,ariogala,,
-2612768,Ariogala,eragala,,
-2612768,Ariogala,ragala,,
-2612768,Ariogala,eiragola,,
-2612768,Ariogala,ejragoła,,
-2612768,Ariogala,ėĭragola,,
-2612768,Ariogala,ayragula,,
-2612768,Ariogala,ariogalos,,
-2612768,Ariogala,arëgala,,
-2612768,Ariogala,airiogala,,
-2612768,Ariogala,iragola,,
-2612768,Ariogala,ragola,,
-2612768,Ariogala,ragole,,
-2879191,Arkhangelsk,arkhangel'sk,,
-2879191,Arkhangelsk,archangel,,
-2879191,Arkhangelsk,archangelsk,,
-1953322,Arlon,arlon,,
-1953322,Arlon,aarlen,,
-1953322,Arlon,arel,"Germany, Lux",
-1953322,Arlon,årlon,,
-2879357,Armavir,armavir,,
-2879357,Armavir,armawir,,
-1034582,Armyanskiy Bazar,armyans’k,,
-1034582,Armyanskiy Bazar,armyansk,,
-1034582,Armyanskiy Bazar,armyanskiy bazar,Russia,until 1921
-1034582,Armyanskiy Bazar,armiansk-bazar,,
-1034582,Armyanskiy Bazar,ermeni bazar,,
