code,id,name,lon,lat
GLC_SNT_KNYZ,-1042240,Knyazhe,48.4,25.45
PLT_KBL_KBLY,-1042262,Kobelyaki,49.15,34.2
MRM_MRM_KBYL,-1042274,Kobyletska Polyana,48.06666667,24.06666667
VLH_ZHT_KDNY,-1042311,Kodnya,50.08333333,28.71666667
PDL_BLT_KDYM,-1042313,Kodyma,48.1,29.11666667
VLH_LTS_KLKY,-1042370,Kolky,51.1,25.66666667
MRM_MRM_KLCH,-1042373,Kolochava,48.43333333,23.7
GLC_KLM_KLMY,-1042414,Kolomyya,48.53333333,25.03333333
KHR_ELZ_KLNY2,-1042435,Koloniya Gromokley,47.9,32.31666667
VLH_LTS_KLNY,-1042463,Koloniya Olizarka,51.35,25.98333333
PDL_IMP_KMRH,-1042536,Komarhorod,48.53333333,28.61666667
GLC_RDK_KMRN,-1042541,Komarno,49.63333333,23.7
KV_BRD_MKHN,-1042625,Makhnivka,49.71666667,28.66666667
KV_LPV_KNL,-1042649,Konela,49.06666667,30.1
PDL_BLT_KNTS,-1042652,Kinets'pil',48.01666667,30.78333333
CHR_KNT_KNTP,-1042673,Konotop,51.23333333,33.2
VLH_LTS_KPCH,-1042753,Kopachivka,50.88333333,25.21666667
PDL_MGL_KPHR,-1042774,Kopaihorod,48.86666667,27.78333333
GLC_HST_KPYC,-1042792,Kopychyntsi,49.1,25.93333333
VLH_NVG_KRTS,-1042840,Korets,50.61666667,27.16666667
KV_SKV_KRNY,-1042859,Kornyn,50.08333333,29.36666667
VLH_ZSL_KRNY,-1042861,Kornytsya,50.05,26.53333333
